0|1|2|3|4|5
Books|Top Free|1|Audible: Audio Entertainment|Audible, Inc.|https://apps.apple.com/us/app/audible-audio-entertainment/id379693831
Books|Top Free|2|Libby, the library app|OverDrive, Inc.|https://apps.apple.com/us/app/libby-the-library-app/id1076402606
Books|Top Free|3|Amazon Kindle|AMZN Mobile LLC|https://apps.apple.com/us/app/amazon-kindle/id302584613
Books|Top Free|4|hoopla Digital|Midwest Tape, LLC|https://apps.apple.com/us/app/hoopla-digital/id580643740
Books|Top Free|5|Goodreads: Book Reviews|Goodreads|https://apps.apple.com/us/app/goodreads-book-reviews/id355833469
Books|Top Free|6|KJV Bible Now: Read & Study|Rocketshield Browser Technology Limited|https://apps.apple.com/us/app/kjv-bible-now-read-study/id6447543328
Books|Top Free|7|Bible For Women.|PANDAS OF CARIBBEAN LIMITED|https://apps.apple.com/us/app/bible-for-women/id6479348235
Books|Top Free|8|Barnes & Noble|Barnes & Noble|https://apps.apple.com/us/app/barnes-noble/id1477515079
Books|Top Free|9|Wattpad - Read & Write Stories|Wattpad Corp|https://apps.apple.com/us/app/wattpad-read-write-stories/id306310789
Books|Top Free|10|Sincerely - Off My Chest|MWM|https://apps.apple.com/us/app/sincerely-off-my-chest/id6443709181
Books|Top Free|11|Ø§ÙÙØ±Ø¢Ù Ø§ÙÙØ±ÙÙ ÙØ§ÙÙØ§ Ø¯ÙÙ Ø§ÙØªØ±ÙØª|Maher Al Masri|https://apps.apple.com/us/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D9%83%D8%A7%D9%85%D9%84%D8%A7-%D8%AF%D9%88%D9%86-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA/id1164088669
Books|Top Free|12|Fable: Books & TV|Fable|https://apps.apple.com/us/app/fable-books-tv/id1488170618
Books|Top Free|13|Bible for Women & Daily Study|Nataliia Shukalovich|https://apps.apple.com/us/app/bible-for-women-daily-study/id1447879414
Books|Top Free|14|Shonen Jump Manga & Comics|VIZ Media, LLC|https://apps.apple.com/us/app/shonen-jump-manga-comics/id594237344
Books|Top Free|15|Bible Offline - KJV Holy Bible|PANDAS OF CARIBBEAN LIMITED|https://apps.apple.com/us/app/bible-offline-kjv-holy-bible/id1472850697
Books|Top Free|16|BookBuddy: My Library Manager|Kimico, Ltd.|https://apps.apple.com/us/app/bookbuddy-my-library-manager/id395150347
Books|Top Free|17|Manga Reader ã¤|Manga Reader Apps LLC|https://apps.apple.com/us/app/manga-reader-%E3%85%A4/id1579203943
Books|Top Free|18|StoryGraph: Reading Tracker|The StoryGraph|https://apps.apple.com/us/app/storygraph-reading-tracker/id1570489264
Books|Top Free|19|Audiobooks.com: Get audiobooks|Storytel Audiobooks USA LLC|https://apps.apple.com/us/app/audiobooks-com-get-audiobooks/id521227008
Books|Top Free|20|Novelpack|HK IReader Technology Limited|https://apps.apple.com/us/app/novelpack/id6446772457
Business|Top Paid|1|HotSchedules|HotSchedules|https://apps.apple.com/us/app/hotschedules/id294934058
Business|Top Paid|2|TurboScanâ¢ Pro: PDF scanner|Piksoft Inc.|https://apps.apple.com/us/app/turboscan-pro-pdf-scanner/id342548956
Business|Top Paid|3|ecMobile|e-Courier, Inc.|https://apps.apple.com/us/app/ecmobile/id601159497
Business|Top Paid|4|Voice Recorder - Audio Record|LiveBird Technologies Private Limited|https://apps.apple.com/us/app/voice-recorder-audio-record/id936694037
Business|Top Paid|5|ScanBizCards|ScanBiz Mobile Solutions L.P.|https://apps.apple.com/us/app/scanbizcards/id335047649
Business|Top Paid|6|TapeACall Pro: Call Recorder|Easy Tiger Apps, LLC.|https://apps.apple.com/us/app/tapeacall-pro-call-recorder/id577499909
Business|Top Paid|7|Superpowers by SYPartners|SYPartners LLC|https://apps.apple.com/us/app/superpowers-by-sypartners/id1309752471
Business|Top Paid|8|Jump Desktop (RDP, VNC, Fluid)|Phase Five Systems|https://apps.apple.com/us/app/jump-desktop-rdp-vnc-fluid/id364876095
Business|Top Paid|9|VesselFinder Pro|AstraPaging Ltd.|https://apps.apple.com/us/app/vesselfinder-pro/id608985698
Business|Top Paid|10|FAX from iPhone & iPad App|BPMobile|https://apps.apple.com/us/app/fax-from-iphone-ipad-app/id1135811739
Business|Top Paid|11|TRUNO TruView|TRUNO|https://apps.apple.com/us/app/truno-truview/id1538658282
Business|Top Paid|12|Profit Story|VooZu Promotions LLC|https://apps.apple.com/us/app/profit-story/id391312617
Business|Top Paid|13|Fast Scanner - PDF Doc Scan|Hang Nguyen|https://apps.apple.com/us/app/fast-scanner-pdf-doc-scan/id586166344
Business|Top Paid|14|Gamma Calculator Pro|Gerrit kleyn Winkel|https://apps.apple.com/us/app/gamma-calculator-pro/id867478383
Business|Top Paid|15|WinFab - Sheet Metal Ductulator|pasquale dipaola|https://apps.apple.com/us/app/winfab-sheet-metal-ductulator/id1212427529
Business|Top Paid|16|Logo Creatorã|Logo Maker LLC|https://apps.apple.com/us/app/logo-creator/id576443892
Business|Top Paid|17|Activate Your Voice|Elaine Clark|https://apps.apple.com/us/app/activate-your-voice/id703201018
Business|Top Paid|18|Genius Scan Enterprise - PDF|The Grizzly Labs|https://apps.apple.com/us/app/genius-scan-enterprise-pdf/id401818935
Business|Top Paid|19|JotNot Scanner App Pro|MobiTech 3000 LLC|https://apps.apple.com/us/app/jotnot-scanner-app-pro/id307868751
Business|Top Paid|20|Remote Desktop - RDP|MochaSoft|https://apps.apple.com/us/app/remote-desktop-rdp/id288362053
Medical|Top Free|1|MyChart|Epic|https://apps.apple.com/us/app/mychart/id382952264
Medical|Top Free|2|UnitedHealthcare|United HealthCare Services, Inc.|https://apps.apple.com/us/app/unitedhealthcare/id1348316600
Medical|Top Free|3|APPatient|Modernizing Medicine, Inc.|https://apps.apple.com/us/app/appatient/id1036175909
Medical|Top Free|4|healow|eClinicalWorks LLC|https://apps.apple.com/us/app/healow/id595012291
Medical|Top Free|5|GoodRx: Prescription Coupons|GoodRx|https://apps.apple.com/us/app/goodrx-prescription-coupons/id485357017
Medical|Top Free|6|SimplePractice Client Portal|SimplePractice, LLC.|https://apps.apple.com/us/app/simplepractice-client-portal/id1466793305
Medical|Top Free|7|MyQuest for Patients|Quest Diagnostics, Inc.|https://apps.apple.com/us/app/myquest-for-patients/id748920931
Medical|Top Free|8|Sydney Health|Elevance Health, Inc|https://apps.apple.com/us/app/sydney-health/id1463423283
Medical|Top Free|9|athenaPatient|athenahealth|https://apps.apple.com/us/app/athenapatient/id1644169294
Medical|Top Free|10|Telehealth by SimplePractice|SimplePractice, LLC.|https://apps.apple.com/us/app/telehealth-by-simplepractice/id1351373906
Medical|Top Free|11|myAirâ¢ by Resmed|ResMed|https://apps.apple.com/us/app/myair-by-resmed/id1109518523
Medical|Top Free|12|Teladoc Health|Teladoc|https://apps.apple.com/us/app/teladoc-health/id656872607
Medical|Top Free|13|Klara â Patient communication|Klara Technologies Inc.|https://apps.apple.com/us/app/klara-patient-communication/id1082300408
Medical|Top Free|14|FollowMyHealthÂ®|Allscripts Healthcare Solutions Inc|https://apps.apple.com/us/app/followmyhealth/id502147249
Medical|Top Free|15|FreeStyle Libre 3 â US|Abbott Labs|https://apps.apple.com/us/app/freestyle-libre-3-us/id1524572429
Medical|Top Free|16|Dexcom G7|Dexcom|https://apps.apple.com/us/app/dexcom-g7/id1569432518
Medical|Top Free|17|Delta Dental Mobile App|Delta Dental Plans Association|https://apps.apple.com/us/app/delta-dental-mobile-app/id1585628503
Medical|Top Free|18|Zocdoc - Find and book doctors|Zocdoc Inc|https://apps.apple.com/us/app/zocdoc-find-and-book-doctors/id391062219
Medical|Top Free|19|Hims: Telehealth for Men|Hims & Hers|https://apps.apple.com/us/app/hims-telehealth-for-men/id1455690574
Medical|Top Free|20|Huckleberry: Baby & Child|Huckleberry Labs Inc.|https://apps.apple.com/us/app/huckleberry-baby-child/id1169136078
Magazines & Newspapers|Top Paid|1|ããã«ã¼ãº|Justin Xin|https://apps.apple.com/us/app/%E3%83%8F%E3%83%83%E3%82%AB%E3%83%BC%E3%82%BA/id6463075798
Magazines & Newspapers|Top Paid|2|B&W Photography Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/b-w-photography-magazine/id428498721
Magazines & Newspapers|Top Paid|3|Woodworking Crafts Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/woodworking-crafts-magazine/id429886769
Magazines & Newspapers|Top Paid|4|Outdoor Photography Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/outdoor-photography-magazine/id428912452
Magazines & Newspapers|Top Paid|5|Furniture & Cabinetmaking|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/furniture-cabinetmaking/id437194402
Magazines & Newspapers|Top Paid|6|Woodturning Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/woodturning-magazine/id434586971
Magazines & Newspapers|Top Paid|7|Woodcarving Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/woodcarving-magazine/id437204539
Magazines & Newspapers|Top Paid|8|Knitting Magazine|Guild of Master Craftsman Publications Ltd|https://apps.apple.com/us/app/knitting-magazine/id428503818
Magazines & Newspapers|Top Paid|9|Prehistoric Times Magazine|Magazinecloner.com US LLC|https://apps.apple.com/us/app/prehistoric-times-magazine/id530088968
Magazines & Newspapers|Top Paid|10|DocScanner - Scan Documents, Receipts, Biz Cards|Abhay Vala|https://apps.apple.com/us/app/docscanner-scan-documents-receipts-biz-cards/id1061473017
Magazines & Newspapers|Top Paid|11|Presidential & US Election Pro|FRIENDSAPP LISTING|https://apps.apple.com/us/app/presidential-us-election-pro/id6737238435
Magazines & Newspapers|Top Paid|12|Oggi Cucino - Digital Edition|RCS MediaGroup S.p.A.|https://apps.apple.com/us/app/oggi-cucino-digital-edition/id380926285
Magazines & Newspapers|Top Paid|13|QuotesBySaints|Artium Nihamkin|https://apps.apple.com/us/app/quotesbysaints/id1605173969
Magazines & Newspapers|Top Paid|14|Khabri Bai - My News Buddy|Umesh Jakhar|https://apps.apple.com/us/app/khabri-bai-my-news-buddy/id1607080654
Magazines & Newspapers|Top Paid|15|Maple Magazine|PressPad Sp. z o.o.|https://apps.apple.com/us/app/maple-magazine/id1065779915
Magazines & Newspapers|Top Paid|16|Navakatha Potha|SIMATO VAS SOLUTIONS (PRIVATE) LIMITED|https://apps.apple.com/us/app/navakatha-potha/id6443873149
Magazines & Newspapers|Top Paid|17|7 Wochen Ohne 2025|Gemeinschaftswerk der Evangelischen Publizistik gGmbH|https://apps.apple.com/us/app/7-wochen-ohne-2025/id6739531009
Magazines & Newspapers|Top Paid|18|Daily Relics|Square Cosmos Press LLC.|https://apps.apple.com/us/app/daily-relics/id6451397295
Magazines & Newspapers|Top Paid|19|iDaily Â· 2020 å¹´åº¦å«å|iDaily Corp.|https://apps.apple.com/us/app/idaily-2020-%E5%B9%B4%E5%BA%A6%E5%88%AB%E5%86%8C/id1543359328
Magazines & Newspapers|Top Paid|20|The Globe & Laurel|The Globe & Laurel Magazine|https://apps.apple.com/us/app/the-globe-laurel/id796959725
Medical|Top Paid|1|Monash FODMAP Diet|Monash University|https://apps.apple.com/us/app/monash-fodmap-diet/id586149216
Medical|Top Paid|2|Hear My Baby Heartbeat Monitor|Fat Cigar Productions Ltd|https://apps.apple.com/us/app/hear-my-baby-heartbeat-monitor/id1111420122
Medical|Top Paid|3|Pedi STAT|James M Kempema MD PA|https://apps.apple.com/us/app/pedi-stat/id327963391
Medical|Top Paid|4|ASCCP Management Guidelines|American Society for Colposcopy and Cervical Pathology Inc|https://apps.apple.com/us/app/asccp-management-guidelines/id1498550832
Medical|Top Paid|5|DairyBar|Jennifer Brandes|https://apps.apple.com/us/app/dairybar/id1439107604
Medical|Top Paid|6|Essential Anatomy 5|3D4Medical from Elsevier|https://apps.apple.com/us/app/essential-anatomy-5/id596684220
Medical|Top Paid|7|Paramedic Protocol Provider|Acid Remap LLC|https://apps.apple.com/us/app/paramedic-protocol-provider/id323130614
Medical|Top Paid|8|Human Anatomy Atlas 2025|Visible Body|https://apps.apple.com/us/app/human-anatomy-atlas-2025/id1117998129
Medical|Top Paid|9|Nject|Keaton Benning, LLC|https://apps.apple.com/us/app/nject/id1620565745
Medical|Top Paid|10|Critical- Medical Guide|The Barringer Group, LLC|https://apps.apple.com/us/app/critical-medical-guide/id504065732
Medical|Top Paid|11|Freya â¢ Surge Timer|The Positive Birth Company Ltd.|https://apps.apple.com/us/app/freya-surge-timer/id1447509164
Medical|Top Paid|12|Pedi QuikCalc 5|Burlington Pediatrics, PA|https://apps.apple.com/us/app/pedi-quikcalc-5/id1539994807
Medical|Top Paid|13|Vargo Anesthesia Mega App|Vargo Anesthesia Inc|https://apps.apple.com/us/app/vargo-anesthesia-mega-app/id791467318
Medical|Top Paid|14|Squeezy|Living With Ltd|https://apps.apple.com/us/app/squeezy/id700740791
Medical|Top Paid|15|EMT Review Plus|Limmer Creative|https://apps.apple.com/us/app/emt-review-plus/id404658834
Medical|Top Paid|16|Instant ECG - Mastery of EKG|iAnesthesia LLC|https://apps.apple.com/us/app/instant-ecg-mastery-of-ekg/id301270080
Medical|Top Paid|17|Radiology Core: Physics Plus|Lieu Duong|https://apps.apple.com/us/app/radiology-core-physics-plus/id1225040758
Medical|Top Paid|18|QuickEM|Dirkes Medical, PLLC|https://apps.apple.com/us/app/quickem/id930734530
Medical|Top Paid|19|Bennet Test Full|Aliaksandr Uvarau|https://apps.apple.com/us/app/bennet-test-full/id961293769
Medical|Top Paid|20|EMT PASS (new)|Limmer Creative|https://apps.apple.com/us/app/emt-pass-new/id1498940102
Reference|Top Free|1|Google Translate|Google|https://apps.apple.com/us/app/google-translate/id414706506
Reference|Top Free|2|Bible Chat: Daily Devotional|Bookvitals APP SRL|https://apps.apple.com/us/app/bible-chat-daily-devotional/id6448849666
Reference|Top Free|3|Bible|Life.Church|https://apps.apple.com/us/app/bible/id282935706
Reference|Top Free|4|CoinIn: Coin Scan Identifier|Vortemol Limited|https://apps.apple.com/us/app/coinin-coin-scan-identifier/id1672111368
Reference|Top Free|5|Hallow: Prayer & Meditation|Hallow, Inc.|https://apps.apple.com/us/app/hallow-prayer-meditation/id1405323394
Reference|Top Free|6|CoinSnap: Coin Identifier|Next Vision Limited|https://apps.apple.com/us/app/coinsnap-coin-identifier/id1634551626
Reference|Top Free|7|Translate Now - AI Translator|Air Apps Systems|https://apps.apple.com/us/app/translate-now-ai-translator/id1348028646
Reference|Top Free|8|Merlin Bird ID by Cornell Lab|Cornell University|https://apps.apple.com/us/app/merlin-bird-id-by-cornell-lab/id773457673
Reference|Top Free|9|Blessedid - Bible Verse Study|Forerunner Technology Limited (HK)|https://apps.apple.com/us/app/blessedid-bible-verse-study/id6503184925
Reference|Top Free|10|5 Calls: Contact Your Congress|5 Calls Civic Action|https://apps.apple.com/us/app/5-calls-contact-your-congress/id1202558609
Reference|Top Free|11|Collectr - TCG Collector App|Collectr|https://apps.apple.com/us/app/collectr-tcg-collector-app/id1603892248
Reference|Top Free|12|Blessed - Daily verse & Prayer|Everblessed Technology Inc.|https://apps.apple.com/us/app/blessed-daily-verse-prayer/id1634567736
Reference|Top Free|13|Night Sky|iCandi Apps Ltd.|https://apps.apple.com/us/app/night-sky/id475772902
Reference|Top Free|14|Sky Guide|Fifth Star Labs LLC|https://apps.apple.com/us/app/sky-guide/id576588894
Reference|Top Free|15|PriceCharting: TCG, Games+|PriceCharting, LLC.|https://apps.apple.com/us/app/pricecharting-tcg-games/id6452190948
Reference|Top Free|16|Ancestry: Family History & DNA|Ancestry.com|https://apps.apple.com/us/app/ancestry-family-history-dna/id349554263
Reference|Top Free|17|Translate Voice: AI Translator|HAPPY TOOLS HK LIMITED|https://apps.apple.com/us/app/translate-voice-ai-translator/id6477325101
Reference|Top Free|18|Deen Buddy - Quran Chat|ZAMZAM TECHNOLOGIES LLC|https://apps.apple.com/us/app/deen-buddy-quran-chat/id6740403566
Reference|Top Free|19|Bible - Daily Bible Verse KJV|Ozion|https://apps.apple.com/us/app/bible-daily-bible-verse-kjv/id1357464684
Reference|Top Free|20|ScanCoin: identify & check|ML & AI Solutions|https://apps.apple.com/us/app/scancoin-identify-check/id6445847779
Shopping|Top Paid|1|Buycott - Barcode Scanner & QR Bar Code Scanner|Buycott Inc.|https://apps.apple.com/us/app/buycott-barcode-scanner-qr-bar-code-scanner/id585933440
Shopping|Top Paid|2|Smart Closet - Your Stylist|Rabbit Tech Inc|https://apps.apple.com/us/app/smart-closet-your-stylist/id1198057728
Shopping|Top Paid|3|Penny Finder|Ringtones LLC|https://apps.apple.com/us/app/penny-finder/id1247306177
Shopping|Top Paid|4|Baby's Heartbeat Backup|My Baby's Heartbeat Bear|https://apps.apple.com/us/app/babys-heartbeat-backup/id1122585593
Shopping|Top Paid|5|QR Reader for iPhone (Premium)|TapMedia Ltd|https://apps.apple.com/us/app/qr-reader-for-iphone-premium/id429671513
Shopping|Top Paid|6|Talking Emoji Pro for Texting|æºæ é»|https://apps.apple.com/us/app/talking-emoji-pro-for-texting/id1216244658
Shopping|Top Paid|7|FSD Hunter|David Hugenberg|https://apps.apple.com/us/app/fsd-hunter/id6737280679
Shopping|Top Paid|8|Posing Pro - Guide for Photographers & Models|TRAN PHUONG|https://apps.apple.com/us/app/posing-pro-guide-for-photographers-models/id1130654757
Shopping|Top Paid|9|Minifigures Tracker|Nicolo Campagnoli|https://apps.apple.com/us/app/minifigures-tracker/id1661136258
Shopping|Top Paid|10|FashWire|The Wires Platforms, Inc.|https://apps.apple.com/us/app/fashwire/id1212940345
Shopping|Top Paid|11|Texture Packs & Creator for Minecraft PC: MCPedia|MAJ Apps and Games LLC|https://apps.apple.com/us/app/texture-packs-creator-for-minecraft-pc-mcpedia/id1039012558
Shopping|Top Paid|12|Boycott Buddy - Shop Ethical|Zachary Jordan|https://apps.apple.com/us/app/boycott-buddy-shop-ethical/id6503020008
Shopping|Top Paid|13|The Christmas List|Erik Eggleston|https://apps.apple.com/us/app/the-christmas-list/id340779800
Shopping|Top Paid|14|Image Resizer Pro - image crop|kitaek kim|https://apps.apple.com/us/app/image-resizer-pro-image-crop/id1112548288
Shopping|Top Paid|15|My Movies 5 Pro - Movie & TV|Binnerup Consult|https://apps.apple.com/us/app/my-movies-5-pro-movie-tv/id6473427404
Shopping|Top Paid|16|Santa's Bag|Clay Pot Software LLC|https://apps.apple.com/us/app/santas-bag/id397698040
Shopping|Top Paid|17|GlossWire|The Wires Platforms, Inc.|https://apps.apple.com/us/app/glosswire/id1548793732
Shopping|Top Paid|18|1Wallet|Marco Tardanico|https://apps.apple.com/us/app/1wallet/id1042431640
Shopping|Top Paid|19|Adult Emojis Icons Pro - Naughty Emoji Faces Stickers Keyboard Emoticons for Texting|ä¸½é¶ é»|https://apps.apple.com/us/app/adult-emojis-icons-pro-naughty-emoji-faces-stickers/id1146997581
Shopping|Top Paid|20|Toyota, Lexus Car Parts|Ruslan Balkarov|https://apps.apple.com/us/app/toyota-lexus-car-parts/id1212475501
Reference|Top Paid|1|e-Sword LT: Bible Study to Go|Rick Meyers|https://apps.apple.com/us/app/e-sword-lt-bible-study-to-go/id634158738
Reference|Top Paid|2|SkySafari|Simulation Curriculum Corp.|https://apps.apple.com/us/app/skysafari/id1257281849
Reference|Top Paid|3|CCW â Concealed Carry 50 State|Workman Consulting LLC|https://apps.apple.com/us/app/ccw-concealed-carry-50-state/id443321291
Reference|Top Paid|4|Knots 3D|Nynix|https://apps.apple.com/us/app/knots-3d/id453571750
Reference|Top Paid|5|1828 Dictionary - Webster's|Apps4World|https://apps.apple.com/us/app/1828-dictionary-websters/id6479616696
Reference|Top Paid|6|FAR/AIM|ASA|https://apps.apple.com/us/app/far-aim/id361784690
Reference|Top Paid|7|Color Wheel|Roman Sevastyanov|https://apps.apple.com/us/app/color-wheel/id1449736609
Reference|Top Paid|8|AFI Explorer|William Walker|https://apps.apple.com/us/app/afi-explorer/id1564964107
Reference|Top Paid|9|SkySafari 7 Pro|Simulation Curriculum Corp.|https://apps.apple.com/us/app/skysafari-7-pro/id1567658979
Reference|Top Paid|10|Merriam-Webster Dictionary+|Merriam-Webster, Inc.|https://apps.apple.com/us/app/merriam-webster-dictionary/id478126577
Reference|Top Paid|11|RhymeZone|Merriam-Webster, Inc.|https://apps.apple.com/us/app/rhymezone/id493493802
Reference|Top Paid|12|Life Application Study Bible|Tecarta, Inc.|https://apps.apple.com/us/app/life-application-study-bible/id1240380955
Reference|Top Paid|13|Fighter Verses: memorize Bible|Truth78|https://apps.apple.com/us/app/fighter-verses-memorize-bible/id411711646
Reference|Top Paid|14|Animated Knots by Grog|Grog LLC|https://apps.apple.com/us/app/animated-knots-by-grog/id376302649
Reference|Top Paid|15|Sibley Birds 2nd Edition|mydigitalearth.com|https://apps.apple.com/us/app/sibley-birds-2nd-edition/id1236011411
Reference|Top Paid|16|Daily Readings|Greek Orthodox Archdiocese of America|https://apps.apple.com/us/app/daily-readings/id516000464
Reference|Top Paid|17|Wise Words for Moms|Shepherd Press Apps|https://apps.apple.com/us/app/wise-words-for-moms/id534302903
Reference|Top Paid|18|Knot IQ|The Bear Essentials Co. LTD|https://apps.apple.com/us/app/knot-iq/id6738783142
Reference|Top Paid|19|A NECÂ® 2017 Quick Reference|Alan Cave|https://apps.apple.com/us/app/a-nec-2017-quick-reference/id1237302023
Reference|Top Paid|20|ACNH Travel Guide|Jeffrey Kuiken|https://apps.apple.com/us/app/acnh-travel-guide/id1502818559
Social Networking|Top Free|1|Threads|Instagram, Inc.|https://apps.apple.com/us/app/threads/id6446901002
Social Networking|Top Free|2|WhatsApp Messenger|WhatsApp Inc.|https://apps.apple.com/us/app/whatsapp-messenger/id310633997
Social Networking|Top Free|3|Telegram Messenger|Telegram FZ-LLC|https://apps.apple.com/us/app/telegram-messenger/id686449807
Social Networking|Top Free|4|Google Meet|Google|https://apps.apple.com/us/app/google-meet/id1096918571
Social Networking|Top Free|5|Discord - Talk, Play, Hang Out|Discord, Inc.|https://apps.apple.com/us/app/discord-talk-play-hang-out/id985746746
Social Networking|Top Free|6|Facebook|Meta Platforms, Inc.|https://apps.apple.com/us/app/facebook/id284882215
Social Networking|Top Free|7|Life360: Find Friends & Family|Life360|https://apps.apple.com/us/app/life360-find-friends-family/id384830320
Social Networking|Top Free|8|GroupMe|Skype Communications S.a.r.l|https://apps.apple.com/us/app/groupme/id392796698
Social Networking|Top Free|9|Messenger|Meta Platforms, Inc.|https://apps.apple.com/us/app/messenger/id454638411
Social Networking|Top Free|10|TextNow: Call + Text Unlimited|TextNow, Inc.|https://apps.apple.com/us/app/textnow-call-text-unlimited/id314716233
Social Networking|Top Free|11|Signal - Private Messenger|Signal Messenger, LLC|https://apps.apple.com/us/app/signal-private-messenger/id874139669
Social Networking|Top Free|12|Locket Widget|Locket Labs, Inc.|https://apps.apple.com/us/app/locket-widget/id1600525061
Social Networking|Top Free|13|OmeTV â Video Chat Alternative|Bad Kitty's Dad|https://apps.apple.com/us/app/ometv-video-chat-alternative/id1252974010
Social Networking|Top Free|14|BAND - App for all groups|NAVER Corp.|https://apps.apple.com/us/app/band-app-for-all-groups/id542613198
Social Networking|Top Free|15|Bluesky Social|Bluesky PBLLC|https://apps.apple.com/us/app/bluesky-social/id6444370199
Social Networking|Top Free|16|Text Free: Second Call Number|Pinger, Inc.|https://apps.apple.com/us/app/text-free-second-call-number/id399355755
Social Networking|Top Free|17|Flip: Watch, Create, Shop|Humans Inc.|https://apps.apple.com/us/app/flip-watch-create-shop/id1470077137
Social Networking|Top Free|18|Text Me - Phone Call + Texting|TextMe, Inc.|https://apps.apple.com/us/app/text-me-phone-call-texting/id514485964
Social Networking|Top Free|19|Litstick - Best Stickers App|Sociaaal LLC|https://apps.apple.com/us/app/litstick-best-stickers-app/id1472619338
Social Networking|Top Free|20|Wizz App - chat now|VLB|https://apps.apple.com/us/app/wizz-app-chat-now/id1452906710
Shopping|Top Free|1|Temu: Shop Like a Billionaire|Temu|https://apps.apple.com/us/app/temu-shop-like-a-billionaire/id1641486558
Shopping|Top Free|2|Capital One Shopping: Save Now|Wikibuy, LLC|https://apps.apple.com/us/app/capital-one-shopping-save-now/id1089294040
Shopping|Top Free|3|SHEIN - Shopping Online|ROADGET BUSINESS PTE. LTD.|https://apps.apple.com/us/app/shein-shopping-online/id878577184
Shopping|Top Free|4|Shop: All your favorite brands|Shopify Inc.|https://apps.apple.com/us/app/shop-all-your-favorite-brands/id1223471316
Shopping|Top Free|5|Whatnot: Shop, Sell, Connect|Whatnot Inc.|https://apps.apple.com/us/app/whatnot-shop-sell-connect/id1488269261
Shopping|Top Free|6|Walmart: Shopping & Savings|Walmart|https://apps.apple.com/us/app/walmart-shopping-savings/id338137227
Shopping|Top Free|7|Amazon Shopping|AMZN Mobile LLC|https://apps.apple.com/us/app/amazon-shopping/id297606951
Shopping|Top Free|8|AliExpress - Shopping App|Alibaba|https://apps.apple.com/us/app/aliexpress-shopping-app/id436672029
Shopping|Top Free|9|Costco|Costco Wholesale Corporation|https://apps.apple.com/us/app/costco/id535509415
Shopping|Top Free|10|eBay online shopping & selling|eBay Inc.|https://apps.apple.com/us/app/ebay-online-shopping-selling/id282614216
Shopping|Top Free|11|CVS Health|CVS Pharmacy|https://apps.apple.com/us/app/cvs-health/id395545555
Shopping|Top Free|12|Etsy: Shop & Gift with Style|Etsy, Inc.|https://apps.apple.com/us/app/etsy-shop-gift-with-style/id477128284
Shopping|Top Free|13|Sam's Club: Pickup & Delivery|Samâs Club|https://apps.apple.com/us/app/sams-club-pickup-delivery/id382497397
Shopping|Top Free|14|Affirm: Buy now, pay over time|Affirm, Inc.|https://apps.apple.com/us/app/affirm-buy-now-pay-over-time/id967040652
Shopping|Top Free|15|"Depop | Buy & Sell Clothing"|Depop Ltd|https://apps.apple.com/us/app/depop-buy-sell-clothing/id518684914
Shopping|Top Free|16|Target|Target|https://apps.apple.com/us/app/target/id297430070
Shopping|Top Free|17|Nike: Shoes, Apparel, Stories|Nike, Inc|https://apps.apple.com/us/app/nike-shoes-apparel-stories/id1095459556
Shopping|Top Free|18|lululemon|lululemon athletica canada inc.|https://apps.apple.com/us/app/lululemon/id920098546
Shopping|Top Free|19|The Home Depot|The Home Depot, Inc.|https://apps.apple.com/us/app/the-home-depot/id342527639
Shopping|Top Free|20|Afterpay - Buy Now, Pay Later|Afterpay|https://apps.apple.com/us/app/afterpay-buy-now-pay-later/id1401019110
Sports|Top Free|1|CBS Sports App: Scores & News|CBS Interactive|https://apps.apple.com/us/app/cbs-sports-app-scores-news/id307184892
Sports|Top Free|2|ESPN Tournament Challenge|Disney|https://apps.apple.com/us/app/espn-tournament-challenge/id359891723
Sports|Top Free|3|NCAA March Madness Live|NCAA Digital|https://apps.apple.com/us/app/ncaa-march-madness-live/id423246594
Sports|Top Free|4|Apple Sports|Apple|https://apps.apple.com/us/app/apple-sports/id6446788829
Sports|Top Free|5|GameChanger|GameChanger Media, Inc.|https://apps.apple.com/us/app/gamechanger/id1308415878
Sports|Top Free|6|ESPN: Live Sports & Scores|Disney|https://apps.apple.com/us/app/espn-live-sports-scores/id317469184
Sports|Top Free|7|"Splash Sports | Survivor & DFS"|BetterPool, LLC (dba Splash)|https://apps.apple.com/us/app/splash-sports-survivor-dfs/id6451190245
Sports|Top Free|8|ESPN Fantasy Sports & More|Disney|https://apps.apple.com/us/app/espn-fantasy-sports-more/id555376968
Sports|Top Free|9|bet365 - Sportsbook & Casino|Hillside Technology Limited|https://apps.apple.com/us/app/bet365-sportsbook-casino/id1465717844
